image_id condition group n_subj n_yes item_type distinct_rating distinct_type prop_yes resp_type HS_preds
42 1 2 56 40 1 2.84 0 0.7105263157894737 1 0.6404700772429177
47 0 1 65 39 0 3.05 0 0.5984848484848485 0 0.3740977159020031
47 0 2 61 46 1 3.05 0 0.75 1 0.6588984338240111
47 1 1 50 29 0 3.05 0 0.5784313725490197 0 0.3740977159020031
47 1 2 56 43 1 3.05 0 0.7631578947368421 1 0.6588984338240111
50 0 1 65 25 0 2.73 0 0.3863636363636363 0 0.5418914042817168
50 0 2 61 33 1 2.73 0 0.5403225806451613 1 0.6931766818734766
50 1 1 50 12 0 2.73 0 0.2450980392156862 0 0.5418914042817168
50 1 2 56 31 1 2.73 0 0.5526315789473685 1 0.6931766818734766
56 0 1 65 38 1 3.02 0 0.5833333333333334 1 0.6754830673623623
56 0 2 61 31 0 3.02 0 0.5080645161290323 0 0.4737424589726889
56 1 1 50 35 1 3.02 0 0.696078431372549 1 0.6754830673623623
56 1 2 56 28 0 3.02 0 0.5 0 0.4737424589726889
59 0 1 65 40 1 1.99 0 0.6136363636363636 1 0.7169076291643138
59 0 2 61 26 0 1.99 0 0.4274193548387097 0 0.5951049085922627
59 1 1 50 38 1 1.99 0 0.7549019607843137 1 0.7169076291643138
59 1 2 56 23 0 1.99 0 0.4122807017543859 0 0.5951049085922627
60 0 1 65 37 0 2.6 0 0.5681818181818182 0 0.5571256198403426
60 0 2 61 42 1 2.6 0 0.6854838709677419 1 0.6808966609290822
60 1 1 50 26 0 2.6 0 0.5196078431372549 0 0.5571256198403426
60 1 2 56 32 1 2.6 0 0.5701754385964912 1 0.6808966609290822
62 0 1 65 28 0 2.95 0 0.4318181818181818 0 0.3493469398276548
62 0 2 61 40 1 2.95 0 0.6532258064516129 1 0.6489309608762777
62 1 1 50 23 0 2.95 0 0.4607843137254901 0 0.3493469398276548
62 1 2 56 38 1 2.95 0 0.6754385964912281 1 0.6489309608762777
64 0 1 65 30 1 2.52 0 0.4621212121212121 1 0.6205940476575532
64 0 2 61 38 0 2.52 0 0.6209677419354839 0 0.5466839931029882
64 1 1 50 21 1 2.52 0 0.4215686274509804 1 0.6205940476575532
64 1 2 56 28 0 2.52 0 0.5 0 0.5466839931029882
85 0 1 65 52 1 7.32 1 0.7954545454545454 1 0.7657701831261683
85 0 2 61 7 0 7.32 1 0.1209677419354838 0 0.1572394524077406
85 1 1 50 43 1 7.32 1 0.8529411764705882 1 0.7657701831261683
85 1 2 56 7 0 7.32 1 0.131578947368421 0 0.1572394524077406
86 0 1 65 3 0 8.01 1 0.053030303030303 0 0.0722365488704658
86 0 2 61 45 1 8.01 1 0.7338709677419355 1 0.7324797361279853
86 1 1 50 3 0 8.01 1 0.0686274509803921 0 0.0722365488704658
86 1 2 56 47 1 8.01 1 0.8333333333333334 1 0.7324797361279853
99 0 1 65 10 0 7.24 1 0.1590909090909091 0 0.1336091054985582
99 0 2 61 30 1 7.24 1 0.4919354838709677 1 0.7170922739542354
99 1 1 50 8 0 7.24 1 0.1666666666666666 0 0.1336091054985582
99 1 2 56 35 1 7.24 1 0.6228070175438597 1 0.7170922739542354
106 0 1 65 39 1 7.66 1 0.5984848484848485 1 0.7774395346803639
106 0 2 61 12 0 7.66 1 0.2016129032258064 0 0.1830166438445125
106 1 1 50 40 1 7.66 1 0.7941176470588235 1 0.7774395346803639
106 1 2 56 7 0 7.66 1 0.131578947368421 0 0.1830166438445125
107 0 1 65 15 0 7.11 1 0.2348484848484848 0 0.0928481552028318
107 0 2 61 34 1 7.11 1 0.5564516129032258 1 0.7142439825360148
107 1 1 50 13 0 7.11 1 0.2647058823529412 0 0.0928481552028318
107 1 2 56 46 1 7.11 1 0.8157894736842105 1 0.7142439825360148
112 0 1 65 42 1 7.03 1 0.6439393939393939 1 0.7584051363941346
112 0 2 61 8 0 7.03 1 0.1370967741935483 0 0.2021379012570772
112 1 1 50 38 1 7.03 1 0.7549019607843137 1 0.7584051363941346
112 1 2 56 12 0 7.03 1 0.219298245614035 0 0.2021379012570772
125 0 1 65 2 0 7.28 1 0.0378787878787878 0 0.1310721018621885
125 0 2 61 34 1 7.28 1 0.5564516129032258 1 0.7186386448302872
125 1 1 50 5 0 7.28 1 0.1078431372549019 0 0.1310721018621885
125 1 2 56 37 1 7.28 1 0.6578947368421053 1 0.7186386448302872
129 0 1 65 37 0 3.25 0 0.5681818181818182 0 0.3969360455513942
129 0 2 61 48 1 3.25 0 0.782258064516129 1 0.6299674935887692
129 1 1 50 26 0 3.25 0 0.5196078431372549 0 0.3969360455513942
129 1 2 56 42 1 3.25 0 0.7456140350877193 1 0.6299674935887692
136 0 1 65 40 1 3.1 0 0.6136363636363636 1 0.6741689208497327
136 0 2 61 17 0 3.1 0 0.282258064516129 0 0.3774327542902615
136 1 1 50 35 1 3.1 0 0.696078431372549 1 0.6741689208497327
136 1 2 56 31 0 3.1 0 0.5526315789473685 0 0.3774327542902615
